"ID";"Name";"OnTerritoryOfMoscow";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"FullFeaturedBPAAmount";"LittleFunctionalBPAAmount";"BPAAmount";"RepairOfEscalators";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"На территории Москвы";"Административный округ";"Район";"Долгота в WGS-84";"Широта в WGS-84";"Тип вестибюля";"Станция метрополитена";"Линия";"Статус объекта культурного наследия";"Режим работы по чётным дням";"Режим работы по нечётным дням";"Количество полнофункциональных БПА (все типы билетов)";"Количество малофункциональных БПА (билеты на 1 и 2 поездки)";"Общее количество БПА";"Ремонт эскалаторов";"Статус объекта";"global_id";"geoData";"geodata_center";
"331";"Китай-город, вход-выход 5 в северный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.63176509";"55.75732811";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773539";"{coordinates=[37.63176509, 55.75732811], type=Point}";"{coordinates=[37.63176509, 55.75732811], type=Point}";
"327";"Китай-город, вход-выход 4 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.63092407";"55.75673268";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773540";"{coordinates=[37.63092407, 55.75673268], type=Point}";"{coordinates=[37.63092407, 55.75673268], type=Point}";
"330";"Китай-город, вход-выход 7 в северный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.63186197";"55.75702717";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773541";"{coordinates=[37.63186197, 55.75702717], type=Point}";"{coordinates=[37.63186197, 55.75702717], type=Point}";
"322";"Китай-город, вход-выход 13 в южный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.63320674";"55.75299870";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773542";"{coordinates=[37.63320674, 55.7529987], type=Point}";"{coordinates=[37.63320674, 55.7529987], type=Point}";
"321";"Китай-город, вход-выход 12 в южный вестибюль";"да";"Центральный административный округ";"Таганский район";"37.63356616";"55.75307131";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773543";"{coordinates=[37.63356616, 55.75307131], type=Point}";"{coordinates=[37.63356616, 55.75307131], type=Point}";
"317";"Китай-город, вход-выход 3 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.63079068";"55.75699088";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"временно закрыт";"1773544";"{coordinates=[37.63079068, 55.75699088], type=Point}";"{coordinates=[37.63079068, 55.75699088], type=Point}";
"318";"Китай-город, вход-выход 9 в южный вестибюль";"да";"Центральный административный округ";"Басманный район";"37.63495823";"55.75413168";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773545";"{coordinates=[37.63495823, 55.75413168], type=Point}";"{coordinates=[37.63495823, 55.75413168], type=Point}";
"325";"Китай-город, вход-выход 2 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.62946226";"55.75664741";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";"1773546";"{coordinates=[37.62946226, 55.75664741], type=Point}";"{coordinates=[37.62946226, 55.75664741], type=Point}";
"280";"Калужская, вход-выход 5 в южный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.53922044";"55.65532695";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"3";"5";"nested data";"действует";"1773547";"{coordinates=[37.53922044, 55.65532695], type=Point}";"{coordinates=[37.53922044, 55.65532695], type=Point}";
"447";"Братиславская, вход-выход 5 в северный вестибюль";"да";"Юго-Восточный административный округ";"район Марьино";"37.75269552";"55.66013368";"подземный";"Братиславская";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"";"2";"2";"nested data";"действует";"1773548";"{coordinates=[37.75269552, 55.66013368], type=Point}";"{coordinates=[37.75269552, 55.66013368], type=Point}";
"446";"Братиславская, вход-выход 4 в северный вестибюль";"да";"Юго-Восточный административный округ";"район Марьино";"37.75175674";"55.66003361";"подземный";"Братиславская";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"";"2";"2";"nested data";"действует";"1773549";"{coordinates=[37.75175674, 55.66003361], type=Point}";"{coordinates=[37.75175674, 55.66003361], type=Point}";
