"ID";"Name";"Station";"RailwayLine";"WorkingHours";"Latitude_WGS84";"Longitude_WGS84";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Локальный идентификатор";"Наименование";"Станция радиального железнодорожного направления";"Радиальное железнодорожное направление";"Режим работы";"Широта в WGS-84";"Долгота в WGS-84";"Статус объекта";"global_id";"geoData";"geodata_center";
"2";"Ленинградский вокзал (проход 1)";"Ленинградский вокзал";"Ленинградское";"круглосуточно";"55.777311";"37.655229";"действует";"1272821225";"{coordinates=[37.655229, 55.777311], type=Point}";"";
"31";"Лихоборы (проход 1)";"Лихоборы";"Ленинградское";"05:30-01:00";"55.848527";"37.552228";"действует";"1609179357";"{coordinates=[37.552228, 55.848527], type=Point}";"";
"200";"Фили (проход 1)";"Фили";"Белорусское";"05:30-01:00";"55.744283";"37.514404";"действует";"1609205182";"{coordinates=[37.514404, 55.744283], type=Point}";"";
"338";"Щукинская (проход 1)";"Щукинская";"Рижское";"05:30-01:00";"55.810905";"37.461462";"действует";"1609205184";"{coordinates=[37.461462, 55.810905], type=Point}";"";
"313";"Стрешнево (проход 4)";"Стрешнево";"Рижское";"05:30-01:00";"55.815014";"37.487330";"действует";"1609205185";"{coordinates=[37.48733, 55.815014], type=Point}";"";
"179";"Чертаново (проход 1)";"Чертаново";"Павелецкое";"05:00-01:00";"55.629748";"37.627831";"действует";"1609205200";"{coordinates=[37.627831, 55.629748], type=Point}";"";
"319";"Волоколамская (проход 1)";"Волоколамская";"Рижское";"05:30-01:00";"55.833282";"37.383497";"действует";"1609205210";"{coordinates=[37.383497, 55.833282], type=Point}";"";
"207";"Беговая (проход 1)";"Беговая";"Белорусское";"05:30-01:00";"55.772306";"37.541270";"действует";"1609205213";"{coordinates=[37.54127, 55.772306], type=Point}";"";
"208";"Белорусская (проход 2)";"Белорусская";"Белорусское";"05:30-01:00";"55.777144";"37.580364";"действует";"1609205217";"{coordinates=[37.580364, 55.777144], type=Point}";"";
"322";"Красный Балтиец (проход 1)";"Красный Балтиец";"Рижское";"05:30-01:00";"55.815580";"37.525757";"действует";"1609205222";"{coordinates=[37.525757, 55.81558], type=Point}";"";
"211";"Савёловская (проход 1)";"Савёловская";"Савёловское";"05:30-01:00";"55.794412";"37.587370";"действует";"1609205234";"{coordinates=[37.58737, 55.794412], type=Point}";"";
"187";"Сетунь (проход 1)";"Сетунь";"Белорусское";"05:30-01:00";"55.723892";"37.396904";"действует";"1609205235";"{coordinates=[37.396904, 55.723892], type=Point}";"";
"327";"Трикотажная (проход 1)";"Трикотажная";"Рижское";"05:30-01:00";"55.833555";"37.397191";"действует";"1609205243";"{coordinates=[37.397191, 55.833555], type=Point}";"";
"214";"Тимирязевская (проход 2)";"Тимирязевская";"Савёловское";"05:30-01:00";"55.819130";"37.574924";"действует";"1609205244";"{coordinates=[37.574924, 55.81913], type=Point}";"";
"216";"Окружная (проход 4)";"Окружная";"Савёловское";"05:30-01:00";"55.847905";"37.574129";"действует";"1609205253";"{coordinates=[37.574129, 55.847905], type=Point}";"";
"192";"Кунцевская (проход 6)";"Кунцевская";"Белорусское";"05:30-01:00";"55.726821";"37.446916";"действует";"1609205254";"{coordinates=[37.446916, 55.726821], type=Point}";"";
"218";"Дегунино (проход 1)";"Дегунино";"Савёловское";"05:30-01:00";"55.867065";"37.572725";"действует";"1609205265";"{coordinates=[37.572725, 55.867065], type=Point}";"";
"195";"Славянский бульвар (проход 2)";"Славянский бульвар";"Белорусское";"05:30-01:00";"55.730663";"37.472277";"действует";"1609205269";"{coordinates=[37.472277, 55.730663], type=Point}";"";
"333";"Тушинская (проход 6)";"Тушинская";"Рижское";"05:30-01:00";"55.827289";"37.439745";"действует";"1609205272";"{coordinates=[37.439745, 55.827289], type=Point}";"";
"225";"Бескудниково (проход 1)";"Бескудниково";"Савёловское";"05:30-01:00";"55.881394";"37.569944";"действует";"1609205319";"{coordinates=[37.569944, 55.881394], type=Point}";"";
"227";"Лианозово (проход 8)";"Лианозово";"Савёловское";"05:30-01:00";"55.899696";"37.547446";"действует";"1609205324";"{coordinates=[37.547446, 55.899696], type=Point}";"";
"239";"Щербинка (проход 1)";"Щербинка";"Курское";"05:30-01:00";"55.508612";"37.561606";"действует";"1609205357";"{coordinates=[37.561606, 55.508612], type=Point}";"";
"246";"Бутово (проход 1)";"Бутово";"Курское";"05:30-01:00";"55.541455";"37.570343";"действует";"1609205375";"{coordinates=[37.570343, 55.541455], type=Point}";"";
"249";"Покровское (проход 1)";"Покровское";"Курское";"05:30-01:00";"55.603288";"37.632215";"действует";"1609205417";"{coordinates=[37.632215, 55.603288], type=Point}";"";
"272";"Люблино (проход 1)";"Люблино";"Курское";"05:30-01:00";"55.685164";"37.733471";"действует";"1609205436";"{coordinates=[37.733471, 55.685164], type=Point}";"";
"297";"Новохохловская, вход-выход";"Новохохловская";"Курское";"05:30-01:00";"55.724113";"37.715289";"действует";"1609205439";"{coordinates=[37.715289, 55.724113], type=Point}";"";
"257";"Царицыно (проход 1)";"Царицыно";"Курское";"05:30-01:00";"55.616803";"37.668819";"действует";"1609205442";"{coordinates=[37.668819, 55.616803], type=Point}";"";
"274";"Текстильщики (проход 1)";"Текстильщики";"Курское";"05:30-01:00";"55.708583";"37.729568";"действует";"1609205448";"{coordinates=[37.729568, 55.708583], type=Point}";"";
"259";"Москворечье (проход 1)";"Москворечье";"Курское";"05:30-01:00";"55.640088";"37.688197";"действует";"1609205450";"{coordinates=[37.688197, 55.640088], type=Point}";"";
"260";"Курьяново (проход 1)";"Курьяново";"Курское";"05:30-01:00";"55.649326";"37.702632";"действует";"1609205456";"{coordinates=[37.702632, 55.649326], type=Point}";"";
"278";"Москва-Товарная (проход 1)";"Дербеневская";"Курское";"05:30-01:00";"55.744981";"37.687382";"действует";"1609205469";"{coordinates=[37.687382, 55.744981], type=Point}";"";
"263";"Перерва (проход 1)";"Перерва";"Курское";"05:30-01:00";"55.659853";"37.714613";"действует";"1609205473";"{coordinates=[37.714613, 55.659853], type=Point}";"";
"284";"Красный Строитель (проход 1)";"Красный Строитель";"Курское";"05:30-01:00";"55.588983";"37.616344";"действует";"1609205494";"{coordinates=[37.616344, 55.588983], type=Point}";"";
"269";"Депо (проход 1)";"Депо";"Курское";"05:30-01:00";"55.674865";"37.727635";"действует";"1609205496";"{coordinates=[37.727635, 55.674865], type=Point}";"";
"291";"Площадь трёх вокзалов (проход 1)";"Площадь трёх вокзалов";"Курское";"05:30-01:00";"55.775071";"37.652816";"действует";"1609205514";"{coordinates=[37.652816, 55.775071], type=Point}";"";
"37";"Казанский вокзал (проход 1)";"Казанский вокзал";"Казанское";"круглосуточно";"55.774566";"37.656111";"действует";"1609205612";"{coordinates=[37.656111, 55.774566], type=Point}";"";
"44";"Электрозаводская (проход 3)";"Электрозаводская";"Казанское";"05:30-01:00";"55.781091";"37.705060";"действует";"1609205625";"{coordinates=[37.70506, 55.781091], type=Point}";"";
"67";"Плющево (проход 1)";"Плющево";"Казанское";"05:30-01:00";"55.730613";"37.777349";"действует";"1609205659";"{coordinates=[37.777349, 55.730613], type=Point}";"";
"91";"Очаково (проход 1)";"Очаково";"Киевское";"05:30-01:00";"55.682830";"37.451359";"действует";"1609205660";"{coordinates=[37.451359, 55.68283], type=Point}";"";
"92";"Очаково (проход 2)";"Очаково";"Киевское";"05:30-01:00";"55.683566";"37.450011";"действует";"1609205665";"{coordinates=[37.450011, 55.683566], type=Point}";"";
"69";"Плющево (проход 2)";"Плющево";"Казанское";"05:30-01:00";"55.729971";"37.775666";"действует";"1609205667";"{coordinates=[37.775666, 55.729971], type=Point}";"";
"95";"Солнечная (проход 1) (А)";"Солнечная";"Киевское";"05:30-01:00";"55.656377";"37.383787";"действует";"1609205680";"{coordinates=[37.383787, 55.656377], type=Point}";"";
"72";"Вешняки (проход 1)";"Вешняки";"Казанское";"05:30-01:00";"55.722638";"37.797181";"действует";"1609205684";"{coordinates=[37.797181, 55.722638], type=Point}";"";
"74";"Выхино (проход 6)";"Выхино";"Казанское";"05:30-01:00";"55.716090";"37.816069";"действует";"1609205691";"{coordinates=[37.816069, 55.71609], type=Point}";"";
"101";"Мичуринец (проход 1)";"Мичуринец";"Киевское";"05:30-01:00";"55.646454";"37.316633";"действует";"1609205709";"{coordinates=[37.316633, 55.646454], type=Point}";"";
"78";"Косино (проход 8)";"Косино";"Казанское";"05:30-01:00";"55.705639";"37.847758";"действует";"1609205711";"{coordinates=[37.847758, 55.705639], type=Point}";"";
"79";"Косино (проход 9)";"Косино";"Казанское";"05:30-01:00";"55.705699";"37.848937";"действует";"1609205715";"{coordinates=[37.848937, 55.705699], type=Point}";"";
"103";"Внуково (проход 1)";"Внуково";"Киевское";"05:30-01:00";"55.649290";"37.271587";"действует";"1609205718";"{coordinates=[37.271587, 55.64929], type=Point}";"";
"104";"Толстопальцево (проход 1)";"Толстопальцево";"Киевское";"05:30-01:00";"55.607486";"37.185160";"действует";"1609205722";"{coordinates=[37.18516, 55.607486], type=Point}";"";
"106";"Кокошкино (проход 1)";"Кокошкино";"Киевское";"05:30-01:00";"55.598742";"37.169922";"действует";"1609205731";"{coordinates=[37.169922, 55.598742], type=Point}";"";
"109";"Санино (проход 1)";"Санино";"Киевское";"05:30-01:00";"55.583504";"37.133975";"действует";"1609205747";"{coordinates=[37.133975, 55.583504], type=Point}";"";
"86";"Поклонная (проход 1)";"Поклонная";"Киевское";"05:30-01:00";"55.732352";"37.520823";"действует";"1609205748";"{coordinates=[37.520823, 55.732352], type=Point}";"";
"110";"Санино (проход 2)";"Санино";"Киевское";"05:30-01:00";"55.582964";"37.134171";"действует";"1609205751";"{coordinates=[37.134171, 55.582964], type=Point}";"";
"88";"Матвеевская (проход 1)";"Матвеевская";"Киевское";"05:30-01:00";"55.704944";"37.481631";"действует";"1609205753";"{coordinates=[37.481631, 55.704944], type=Point}";"";
"112";"Крёкшино (проход 1)";"Крёкшино";"Киевское";"05:30-01:00";"55.578658";"37.111131";"действует";"1609205760";"{coordinates=[37.111131, 55.578658], type=Point}";"";
"130";"Кусково (проход 1)";"Кусково";"Горьковское";"05:30-01:00";"55.739431";"37.795099";"действует";"1609205768";"{coordinates=[37.795099, 55.739431], type=Point}";"";
"114";"Аминьевская (проход 1)";"Аминьевская";"Киевское";"05:30-01:00";"55.696860";"37.467190";"действует";"1609205770";"{coordinates=[37.46719, 55.69686], type=Point}";"";
"133";"Новогиреево (проход 1)";"Новогиреево";"Горьковское";"05:30-01:00";"55.744296";"37.820015";"действует";"1609205776";"{coordinates=[37.820015, 55.744296], type=Point}";"";
"134";"Новогиреево (проход 2)";"Новогиреево";"Горьковское";"05:30-01:00";"55.744719";"37.818219";"действует";"1609205777";"{coordinates=[37.818219, 55.744719], type=Point}";"";
"141";"Москва-3 (проход 1)";"Москва-3";"Ярославское";"04:30-01:30";"55.802093";"37.652899";"действует";"1609205792";"{coordinates=[37.652899, 55.802093], type=Point}";"";
"143";"Маленковская (проход 1)";"Маленковская";"Ярославское";"круглосуточно";"55.814407";"37.662675";"действует";"1609205796";"{coordinates=[37.662675, 55.814407], type=Point}";"";
"144";"Маленковская (проход 2)";"Маленковская";"Ярославское";"круглосуточно";"55.814086";"37.663169";"действует";"1609205797";"{coordinates=[37.663169, 55.814086], type=Point}";"";
"147";"Яуза (проход 1)";"Яуза";"Ярославское";"круглосуточно";"55.829905";"37.671488";"действует";"1609205810";"{coordinates=[37.671488, 55.829905], type=Point}";"";
"150";"Ростокино (проход 1)";"Ростокино";"Ярославское";"03:30-02:30";"55.840325";"37.670207";"действует";"1609205814";"{coordinates=[37.670207, 55.840325], type=Point}";"";
"152";"Лосиноостровская (проход 1)";"Лосиноостровская";"Ярославское";"05:00-01:00";"55.862157";"37.681788";"действует";"1609205822";"{coordinates=[37.681788, 55.862157], type=Point}";"";
"157";"Лось (проход 1)";"Лось";"Ярославское";"05:00-01:00";"55.880627";"37.711095";"действует";"1609205837";"{coordinates=[37.711095, 55.880627], type=Point}";"";
"168";"Тульская (проход 1)";"Тульская";"Павелецкое";"05:00-01:00";"55.704049";"37.622797";"действует";"1609205885";"{coordinates=[37.622797, 55.704049], type=Point}";"";
"172";"Нагатинская (проход 1)";"Нагатинская";"Павелецкое";"05:00-01:00";"55.682444";"37.621299";"действует";"1609205895";"{coordinates=[37.621299, 55.682444], type=Point}";"";
"173";"Варшавская (проход 1)";"Варшавская";"Павелецкое";"круглосуточно";"55.653741";"37.623089";"действует";"1609205898";"{coordinates=[37.623089, 55.653741], type=Point}";"";
"340";"Минская (проход 3)";"Минская";"Киевское";"05:30-01:00";"55.723288";"37.498493";"действует";"2363199231";"{coordinates=[37.498493, 55.723288], type=Point}";"";
"341";"Печатники (проход 8)";"Печатники";"Курское";"05:30-01:00";"55.693479";"37.729802";"действует";"2370994450";"{coordinates=[37.729802, 55.693479], type=Point}";"";
"342";"Печатники (проход 9)";"Печатники";"Курское";"05:30-01:00";"55.694107";"37.730014";"действует";"2371012991";"{coordinates=[37.730014, 55.694107], type=Point}";"";
"343";"Печатники (проход 10)";"Печатники";"Курское";"05:30-01:00";"55.693853";"37.733094";"действует";"2372369751";"{coordinates=[37.733094, 55.693853], type=Point}";"";
"344";"Марьина Роща (проход 1)";"Марьина Роща";"Рижское";"05:30-01:00";"55.801138";"37.618563";"действует";"2577806869";"{coordinates=[37.618563, 55.801138], type=Point}";"";
"345";"Марьина Роща (проход 2)";"Марьина Роща";"Рижское";"05:30-01:00";"55.800167";"37.618497";"действует";"2577806879";"{coordinates=[37.618497, 55.800167], type=Point}";"";
"346";"Марк (проход 1)";"Марк";"Савёловское";"05:30-01:00";"55.904406";"37.538408";"действует";"2588104740";"{coordinates=[37.538408, 55.904406], type=Point}";"";
"347";"Марк (проход 2)";"Марк";"Савёловское";"05:30-01:00";"55.902876";"37.540089";"действует";"2588104921";"{coordinates=[37.540089, 55.902876], type=Point}";"";
